string_update_interval;Update Position every;Update Position every
action_search;Search;Search
user_password;Password;Password
action_sort;Sort;Sort
group_login;Group Login;Group Login
device_id;Device Id;Device Id
group_name;Group Name;Group Name
user_name;User Name;User Name
action_calendar;Calendar;Calendar
action_settings;Settings;Settings
search_hint;Search;Search
group_password;Group Password;Group Password
action_refresh;Refresh;Refresh
device_name;Device Name;Device Name
action_map;Map;Map
user_login;Login;Login
